City,Latitude,Longitude,Light Intensity,Traffic Density,Crowd Density,Crime Rate,Accident Rate,Crime against women,Safety score
Amravati,20.932,77.7523,81%,16.17,43.01,69.91,65.21,10.88,34
Chittoor,13.2172,79.1003,95%,56.09,75.85,70.4,34.98,41.01,47
Vijayawada,16.5062,80.648,22.00%,90.79,27.9,61.23,24.65,27.39,39
Visakhapatnam,17.6868,83.2185,95%,39.78,41.35,17.04,35.51,40.86,29
Itanagar,27.0844,93.6053,38.50%,36.31,46.77,85.79,77.96,43.39,48
Dispur,23.1433,91.7898,20.66%,91.12,71.04,33.66,60.99,43.41,50
Guwahati,26.1158,91.7086,53%,45.27,38.09,82.75,14.85,16.95,33
Motihari,26.6438,84.904,20%,49.8,92.69,70.5,22.01,23.25,43
Patna,25.5941,85.1376,72%,34.32,58.49,11.17,100.91,36.05,40
Chandigarh,30.7333,76.7794,53%,25.89,67.71,47.81,80.43,66.27,48
Raipur,21.2514,81.6296,15%,21.59,87.25,31.85,42.97,88.58,45
Delhi,28.7041,77.1025,98%,18.59,95.88,17.4,57.31,13.19,34
New Delhi,28.6139,77.2088,99%,55.5,64.99,63.43,82.94,99.02,61
Goa,15.2993,74.124,65%,51.44,62.55,85.93,80.34,50.18,55
Ahmedabad,23.0225,72.5714,98.60%,53.14,50.42,31.98,49.99,88.19,46
Dwarka,28.5823,77.05,85%,38.28,60.48,18.11,25.29,26.36,28
Gandhinagar,23.2156,72.6369,90%,74.67,84.05,57.72,86.89,79.09,64
Jamnagar,22.4707,70.0577,15%,46.03,85.58,15.42,51.14,22.74,37
Junagadh,21.5222,70.4579,5%,29.52,80.03,28.88,77.98,42.69,43
Rajkot,22.3039,70.8022,87%,76.56,24.03,17.58,100.9,83.25,51
Surat,21.1702,72.8311,99%,14.18,54.4,56.96,83.77,51,44
Valsad,20.5992,72.9342,13%,27,93.36,59.82,85.62,64.34,55
Faridabad,28.4089,77.3178,73%,39.86,40.96,18.81,46.71,39.54,31
Firozpur,30.9331,74.6225,11%,81.07,94.98,36.78,40.26,92.98,58
